"","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","S1","Subtropical","Tropical","Continental"
"F_CO2",55.7499286963412,36.1160970439054,45.0683266392091,50.9876297743615,58.6046669329904,NA,51.0001208355234,NA,23.1570574000449,69.0819050650138,15.1177177350774,20.8388391001358,NA,NA,NA,NA,NA
"OM_ag",49.7762469973088,52.1450489384777,55.7840187736152,191.471630515929,135.260521882827,NA,180.437528413768,47.2003157375469,103.791454248263,40.7187152359358,28.9793611770718,30.2188189746067,18.8424516612549,NA,NA,NA,NA
"OM_litter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.5131525791736,13.8493376132439,19.4466354753031
"OM_root",14.8090579976445,9.14271779000408,8.05365289102819,15.740122089151,27.1603124497218,NA,56.0072735861347,11.1579919310175,11.4125359612431,10.5731660348261,10.3104544031774,8.42007134077549,NA,NA,NA,NA,NA
"OM_wood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9086153990135,12.2585117544275,36.990769240447
