"","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","S1","Subtropical","Tropical","Continental"
"F_CO2",-54.2004188489609,-4.54068629121745,-21.6430543405402,-63.0792537918654,-89.7722840144367,NA,-47.276949763913,-118.307789606033,-40.4555834535727,-24.0352146190659,-45.4344051749159,-18.2851389229274,-15.9056567332054,NA,NA,NA,NA
"OM_ag",149.733284100748,133.526536734694,92.7857761363636,166.315306517949,146.297529411765,NA,231.887230434783,104.986180980392,73.4260190833333,75.3618489147287,86.5115777777778,61.3059396293333,32.0578545454545,103.8,NA,NA,NA
"OM_litter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6505315151515,11.0336458333333,19.5509597701149
"OM_root",22.0977954545455,20.1757771428571,18.883325,17.9517600645161,26.258962962963,NA,54.6906285714286,18.751534375,15.4302,17.538,16.668,16.1861260869565,NA,15.4,NA,NA,NA
"OM_wood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.0646959459459,16.0445966666667,24.475
