new.sitename,new.plotname,old.sitename,old.plotname,date.added.here,notes
Tumbarumba flux station (AU-Tum),mature managed forest,Tumbarumba flux station,mature managed forest,9/21/18,add fluxnet code
Tumbarumba flux station (AU-Tum),mature managed forest,Tumbara,NAC,9/21/18,merge with duplicate site 
Luquillo CTFS-ForestGEO plot,16-ha forest dynamics plot,Luquillo Forest Dynamics plot,mature 'old growth' forest,9/22/18,merge with duplicate site 
Luquillo Experimental Forest: Bisley watersheds 1 and 2 ,Secondary tabonuco forest,Bisley,Secondary tabonuco forest,9/22/18,clarify name
