"site.ID","sites.sitename"
5356,"Yenisei 130lm/ld"
5356,"Yenisei 50lh/lw"
5356,"Yenisei 235lh/lw"
5356,"Yenisei 238lh/lw"
5356,"Yenisei 244lh/lw"
5356,"Yenisei 274lh/lw"
5356,"Yenisei 321lh/lw"
5356,"Yenisei 266vm/v"
5356,"Yenisei 270vm/v"
