"allometry_1"
"30"
"1.2"
"2"
"45"
"1.1"
"22"
"2.2"
"5"
"33"
"8"
"27.5"
"28"
"27.3"
"17"
"13"
"32"
"23.2"
"23.1"
"35"
"12.1"
"12.2"
"4"
"9"
"16"
"14"
"10.7"
"10"
"10.6"
"11.9"
"11"
"11.8"
"7.3"
"31"
"6.2"
"6.1"
"6.3"
"36"
"39"
"37"
"38"
"2.3"
"2.1"
"40.1"
"41"
"42"
"44"
