current.priority,citation.ID,citation.doi,citation.author,citation.year,citation.title,variables,disturbance.types,geographic.scope,n.sites,n.plots,n.records,notes,status,GitHub.issue,date.finished
NA,NA,NA,IPCC,2006,2006 IPCC Guidelines for National Greenhouse Gas Inventories,biomass,multiple,global,,,,Compilation of literature used for regional biomass estimates. Original studies were visited to obtain relevant variables for the tropics; some extratropical studies not finished.,4-done,,pre-2016
NA,Luyssaert_2007_cbob,10.1111/j.1365-2486.2007.01439.x,Luyssaert,2007,"CO2 balance of boreal, temperate, and tropical forests derived from a global database","Eddy flux, C flux, and biomass",any,global,,,,Global compilation of flux and biomass data.,4-done,,pre-2016
NA,Malhi_2015_tlbp,10.1111/gcb.12859 ,Malhi,2015,"The linkages between photosynthesis, productivity, growth and biomass in lowland Amazonian forests",C flux and biomass,mostly mature,Amazon,,,,Compilation of C flux and aboveground biomass data in lowland Amazonian forests. Original studies were visited to obtain other relevant variables.,4-done,,pre-2016
NA,Clark_2013_ntfc,10.3334/ORNLDAAC/616,Clark,2013,"NPP Tropical Forest: Consistent Worldwide Site Estimates, 1967-1999, R1. Dataset.",C flux and biomass,multiple,pan-tropical,,,,"Compilation of NPP components and biomass data in tropical forests distributed globally (Clark et al., 2001, 2013, https://daac.ornl.gov/) and data compilations for individual sites.",4-done,,pre-2016
NA,Clark_2001_nppi,10.1890/1051-0761(2001)011[0371:NPPITF]2.0.CO;2,Clark,2001,Net primary production in tropical forests: An evaluation and synthesis of existing field data,C flux and biomass,multiple,pan-tropical,,,,"Compilation of NPP components and biomass data in tropical forests distributed globally (Clark et al., 2001, 2013, https://daac.ornl.gov/) and data compilations for individual sites.",4-done,,pre-2016
NA,Litton_2007_caif,10.1111/j.1365-2486.2007.01420.x,Litton,2007,Carbon allocation in forest ecosystems,C flux,multiple,global,,,,"Compilation of C flux studies in Hawaii, Brazil, Australia, New Zealand, North America, and Canada. Original studies were visited to obtain other relevant variables.",4-done,,pre-2016
NA,Baldocchi_2008_bott,10.1071/BT07151,Baldocchi,2008,Breathing' of the terrestrial biosphere: lessons learned from a global network of carbon dioxide flux measurement systems,eddy flux ,multiple,global,,,,Global compilation of eddy flux data.,4-done,,pre-2016
NA,Malhi_2004_tacw,10.1111/j.1529-8817.2003.00778.x,Malhi,2004,The above-ground coarse wood productivity of 104 Neotropical forest plots,woody ANPP,mostly mature,neotropics,104,,,Woody ANPP data from 104 neotropical plots (incld. RAINFOR),4-done,,pre-2016
NA,Malhi_2011_taoe,10.1098/rstb.2011.0062,Malhi,2011,The allocation of ecosystem net primary productivity in tropical forests,NPP components,mostly mature,tropical,,,,Compilation of NPP component data of tropical forests. Some original studies were visited to check data accuracy and data was obtained directly from those,4-done,,pre-2016
NA,Chave_2010_rasp,10.5194/bg-7-43-2010,Chave,2010,Regional and seasonal patterns of litterfall in tropical South America,"ANPP_litterfall, ANPP_foliage, ANPP_repro, c2n_leaf",multiple,tropical S America,,,,Compilation of litterfall NPP and components data from tropical South America,4-done,,pre-2016
NA,McGarvey_2015_csio,10.1890/14-1154.1,McGarvey,2015,Carbon storage in old-growth forests of the MidAtlantic: toward better understanding the eastern forest carbon sink,C stocks,old-growth,Mid-Atlantic,,,,C stocks of in Mid-Atlantic old-growth forests,4-done,,pre-2016
NA,Poorter_2015_decs,10.1111/geb.12364,Poorter,2015,Diversity enhances carbon storage in tropical forests,Biomass_ag,mature/old-growth,pan-tropical,,,,Compilation of AGB data from 59 lowland neotropical forests,4-done,,pre-2016
NA,Chao_2009_atdq,10.5194/bg-6-1615-2009,Chao,2009,After trees die: quantities and determinants of necromass across Amazonia,"deadwood, woody.mortality",,Amazon,,,,Compilation of necromass data across Amazonia. Some original studies were visited to check data accuracy and data was obtained directly from those.,4-done,,pre-2016
NA,Chisholm_2013_srbt,10.1111/1365-2745.12132,Chisholm,2013, Scale-dependent relationships between tree species richness and ecosystem function in forests,"AGB, CWP",mostly mature,global,,,,"ForestGEO.  Mean/std presented in Table S4 are not representative because they are calculated on a log scale. Biomass means for some sites deviate dramatcially from those calculated in other studies (e.g., Lutz et al. 2018). Also, Chave allometries were used for some extratropical sites. ",5-excluded,,NA
