"","Koeppen_name","Forest_type","age100","ANPP_0","ANPP_1","ANPP_2","ANPP_foliage","ANPP_folivory","ANPP_litterfall_0","ANPP_litterfall_1","ANPP_litterfall_2","ANPP_repro","ANPP_woody","ANPP_woody_branch","ANPP_woody_stem","biomass","biomass_ag","biomass_ag_foliage","biomass_ag_woody","biomass_root","biomass_root_coarse","biomass_root_fine","BNPP_root","BNPP_root_coarse","BNPP_root_fine","deadwood","deadwood_down","deadwood_standing","delta.agb","foliage_pN","GPP","LAI","leaf_C2N","leaf_pN","N.mineralization","NEE","NEE_cum","NEP","NPP_1","NPP_2","NPP_3","NPP_4","NPP_5","NPP_understory","NPP_woody","organic.layer","R_auto","R_auto_ag","R_auto_foliage","R_auto_root","R_auto_wood","R_eco","R_het_soil","R_soil","soil","stand.density","TBCF","total.ecosystem","total.ecosystem_2","woody.mortality_ag"
"37","tropical","broadleaf","< 100 years",0,4,13,7,0,0,15,13,2,0,0,9,74,670,60,38,180,39,48,2,0,0,140,4,3,0,0,1,31,1,2,0,1,0,0,3,0,0,0,0,0,0,59,0,0,0,0,0,1,2,2,326,1,0,1,0,2
"38","tropical","broadleaf","> 200 years",8,104,17,85,17,286,116,13,52,16,28,417,42,455,18,21,62,3,22,23,23,44,48,24,14,27,0,45,0,34,0,0,41,0,3,27,1,0,2,1,1,55,14,11,0,9,0,9,33,13,20,12,12,0,6,6,67
"39","tropical","broadleaf","100 - 200 years",2,0,0,4,0,0,4,0,0,0,0,2,1,21,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"40","tropical","broadleaf","age unknown",0,0,0,13,1,4,22,3,13,0,1,5,0,24,1,0,4,1,1,0,0,0,20,4,2,0,0,17,1,7,0,0,19,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,17,0,3,1,7,0,1,1,4
"41","tropical","conifer","< 100 years",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"42","tropical","conifer","> 200 years",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","tropical","conifer","age unknown",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","tropical","mix","< 100 years",0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,2,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0
"45","tropical","mix","> 200 years",0,4,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0
"46","tropical","other veg type","< 100 years",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","tropical","other veg type","> 200 years",0,1,0,0,0,0,1,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","tropical","other veg type","age unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
