"Biome","variable.type","variable.diagram","mean","std","se","LCI","UCI","min","max","equation","n.records","n.plots","n.areas"
"Temperate broadleaf MATURE","stock","deadwood_down",NA,NA,NA,NA,NA,Inf,-Inf,NA,0,0,0
"Temperate broadleaf YOUNG","stock","deadwood_down",7.63,8.57,2.86,2.03,13.23,0.89,17.27,NA,16,16,3
"Temperate conifer MATURE","stock","deadwood_down",NA,NA,NA,NA,NA,Inf,-Inf,NA,0,0,0
"Temperate conifer YOUNG","stock","deadwood_down",31.26,20.16,3.36,24.68,37.85,10.39,61.19,NA,59,55,6
"Boreal conifer MATURE","stock","deadwood_down",9.14,NA,NA,NA,NA,9.14,9.14,NA,1,1,1
"Boreal conifer YOUNG","stock","deadwood_down",18.27,13.71,2.74,12.89,23.64,5.2,36.44,NA,21,21,5
"Tropical broadleaf MATURE","stock","organic.layer",12.99,17.33,1.93,9.22,16.77,1.32,52.17,NA,10,10,9
"Tropical broadleaf YOUNG","stock","organic.layer",3.82,2.45,0.12,3.58,4.06,0.7,10.66,NA,118,102,20
"Temperate broadleaf MATURE","stock","organic.layer",20.36,26.97,1.69,17.05,23.66,1.73,96.58,NA,20,18,16
"Temperate broadleaf YOUNG","stock","organic.layer",9.64,12.43,0.44,8.77,10.51,1.4,59.8,NA,104,82,28
"Temperate conifer MATURE","stock","organic.layer",24.28,20.45,2.56,19.27,29.29,3.38,56.25,NA,12,12,8
"Temperate conifer YOUNG","stock","organic.layer",12.74,10.85,0.36,12.03,13.45,1.3,47.3,NA,104,93,30
"Boreal conifer MATURE","stock","organic.layer",38.69,26.56,6.64,25.68,51.7,1.67,58.95,NA,5,5,4
"Boreal conifer YOUNG","stock","organic.layer",41.15,33.66,3.37,34.55,47.74,8.96,90.95,NA,37,37,10
