"measurement.ID","sites.sitename","plot.name"
18916,"New Brunswick, FNP","S5B"
18917,"New Brunswick, FNP","S5B"
18918,"New Brunswick, FNP","S5B"
18919,"New Brunswick, FNP","S5B"
18920,"New Brunswick, FNP","S5B"
