"","site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","coordinates.precision","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","continent","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential_duplicate_group_manual","duplicate.notes","optional","WC_MAT","WC_MAP","WC_warmest","WC_coldest","climate.data.suspect"
"12",12,"Aheden 2",NA,NA,NA,"NAC","Vasterbotten","Sweden",64.23,19.76,"NAC","175",NA,1,NA,NA,600,NA,"loam","NAC","NAC","NAC","NAC",NA,NA,NA,9,"Europe","Palearctic","Dfc","Boreal coniferous forest",NA,"Hogberg_2001_lfgs; Singh_2003_tras",NA,"Bhupinderpal-Singh_2003",1,"Luyssaert_2007_cbob","Maria",0,"0",NA,"0",NA,TRUE,1.87499988079071,603,15,-10.1000003814697,NA
"13",13,"Ailao",NA,NA,NA,"NAC","Yunnan","China",24.5333,101.0017,"NAC","NAC",NA,11.3,NA,NA,1840,NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,10,"Asia","IndoMalay","Cwb","Subtropical mountain system",NA,"Liu_2002_bana; Tan_2011_aosa",NA,"Liu_2014_htpa",NA,"Liu_2014_htpa","Maria",5,"1",NA,"5",NA,TRUE,14.0958337783813,983,18.6000003814697,7.90000009536743,NA
"14",14,"Akou",NA,NA,NA,"Akou","Hyogo","Japan",34.7349444,134.3743056,"NAC","10",NA,15.43,NA,NA,962,NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,11,"Asia","Palearctic","Cfa","Subtropical humid forest",NA,"Kosugi_2005_tyoc",NA,NA,NA,"Yu_2014_hcdu","Maria",0,"0",NA,"0",NA,TRUE,NA,NA,NA,NA,NA
"15",15,"Alaska",NA,NA,NA,"NAC","Alaska","United States of America",64.75,-148.25,"NAC","NAC",NA,-3.5,NA,NA,269,NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,12,"North America","Nearctic","Dfc","Boreal tundra woodland",NA,"Oechel_1986_trob",NA,"Keith_2009_rofb; Liu_2014_htpa",NA,"Keith_2009_rofb; Liu_2014_htpa","Maria",0,"0",NA,"0",NA,TRUE,-2.92499995231628,294,16,-22.2000007629395,NA
"16",16,"Alaska - interior",NA,NA,NA,"NAC","Alaska","United States of America",64,-147,"degree","NAC",NA,NA,NA,NA,NA,NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,13,"North America","Nearctic","Dfc","Boreal mountain system",NA,"Ueyama_2006_cfot","Ueyama_2006_cfot",NA,1,"Baldocchi_2008_bott","Maria",0,"0",NA,"0",NA,TRUE,-4.5625,340,11.6000003814697,-18.2999992370605,NA
"17",17,"Alaskan coast",NA,NA,NA,"NAC","Alaska","United States of America",58.37,-134.72,"NAC","NAC",NA,10,NA,NA,3550,NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,14,"North America","Nearctic","Dfc","Temperate mountain system",NA,"Leighty_2006_eomo",NA,"Keith_2009_rofb; Liu_2014_htpa",NA,"Keith_2009_rofb; Liu_2014_htpa","Maria",0,"0",NA,"0",NA,TRUE,NA,NA,NA,NA,NA
"18",18,"Alatskivi 1",NA,NA,NA,"NAC","Tartu","Estonia",58.55,27.083,"NAC","NAC",NA,5.4,NA,NA,675,NA,"sandy loam","NAC","NAC","NAC","Haplic Umbrisol","Haplic Umbrisol",NA,NA,15,"Europe","Palearctic","Dfb","Temperate continental forest",NA,"Uri_2012_bpac",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,5.08750009536743,605,17.2000007629395,-6,NA
"19",19,"Alatskivi 2",NA,NA,NA,"NAC","Tartu","Estonia",58.617,27.03,"NAC","NAC",NA,5.4,NA,NA,675,NA,"sandy loam","NAC","NAC","NAC","Gleyic Umbrisol","Gleyic Umbrisol",NA,"GROA site.id #2042",15,"Europe","Palearctic","Dfb","Temperate continental forest",NA,"Uri_2012_bpac; Varik_2015_cbif",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,5.01249980926514,608,17.2999992370605,-6.19999980926514,NA
"20",20,"Alava",NA,NA,NA,"Tutuila","Eastern District","American Samoa",-14.264369,-170.688202,"other (see geography.notes)","NAC","ori coords fell in ocean. New coords from gmaps",26.9,NA,NA,3207,NA,"clay","NAC","NAC","NAC","Mollisol","Lithic Hapludoll-Rock outcrop association","NAC",NA,16,"Oceania","Oceania","Af","Tropical rainforest","12","Webb_1999_daso",NA,NA,NA,NA,NA,7,"1","1","7",NA,TRUE,25.1499996185303,3611,25.7999992370605,24.2999992370605,NA
"21",21,"Alberga",NA,NA,NA,"NAC","Para","Suriname",5.341,-55.764,"NAC","NAC",NA,NA,NA,NA,2156,NA,"NAC","NAC","NAC","NAC","NAC",NA,"NAC",NA,17,"South America","Neotropics","Af","Tropical moist forest","1367","Poorter_2015_decs",NA,NA,NA,NA,NA,0,"0",NA,"0",NA,TRUE,26.7416667938232,2202,27.7999992370605,25.8999996185303,NA
"22",22,"Alberta",NA,NA,NA,"NAC","Alberta","Canada",54.25,-117,"degree","NAC",NA,2.6,NA,NA,500,NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,18,"North America","Nearctic","Dfc","Boreal coniferous forest",NA,"Banfield_2002_virs",NA,"Keith_2009_rofb; Liu_2014_htpa",NA,"Keith_2009_rofb; Liu_2014_htpa","Maria",0,"0",NA,"0",NA,TRUE,2.47083330154419,571,14.5,-11,NA
"23",23,"Alberta AB10",NA,NA,NA,"NAC","Alberta","Canada",50.27,-114.59,"NAC","1903",NA,0.8,NA,NA,626,"MAT and MAP from Liu2014","NAC","NAC","NAC","NAC","NAC",NA,NA,NA,19,"North America","Nearctic","Dfc","Temperate mountain system",NA,"Ma_2012_rdri",NA,"Liu_2014_htpa",NA,"Liu_2014_htpa","Maria",0,"0",NA,"0",NA,TRUE,0.89166671037674,643,12,-10.6000003814697,NA
"24",24,"Alberta AB11",NA,NA,NA,"NAC","Alberta","Canada",50.26,-114.6,"NAC","2010",NA,0.2,NA,NA,635,"MAT and MAP from Liu2014","NAC","NAC","NAC","NAC","NAC",NA,NA,NA,19,"North America","Nearctic","Dfc","Temperate mountain system",NA,"Ma_2012_rdri",NA,"Liu_2014_htpa",NA,"Liu_2014_htpa","Maria",0,"0",NA,"0",NA,TRUE,0.933333396911621,650,12.1000003814697,-10.6000003814697,NA
"25",25,"Alberta AB12",NA,NA,NA,"NAC","Alberta","Canada",50.25,-114.6,"NAC","2010",NA,0.2,NA,NA,636,"MAT and MAP from Liu2014","NAC","NAC","NAC","NAC","NAC",NA,NA,NA,19,"North America","Nearctic","Dfc","Temperate mountain system",NA,"Ma_2012_rdri",NA,"Liu_2014_htpa",NA,"Liu_2014_htpa","Maria",0,"0",NA,"0",NA,TRUE,0.704166650772095,658,11.8000001907349,-10.6999998092651,NA
